Congress,       14.8438,    69.7
Albuequerque,   9.76562,    67.4    
Boise,          15.625,     66.0
Salt Lake City, 15.625,     61.0
Seattle,        23.4375,    57.6
Los Angeles,    17.9688,    52.0
Cheyenne,       9.76562,    51.8
