TI Data (Starts 1/1/2016 ends 12/31/2016 23:00 hourly)
-224
-282
-140
-47
-120
-179
-445
-29
206
346
335
378
420
557
599
614
642
659
592
614
547
499
501
397
205
-49
46
-15
-73
75
95
179
455
645
661
709
726
772
677
510
561
446
418
314
358
456
487
383
383
40
-26
-109
-99
77
-38
42
147
274
515
485
471
425
336
306
223
381
394
467
313
295
238
26
-75
-455
-442
-358
-388
-206
-63
80
288
310
350
371
276
167
-71
-287
32
278
200
137
189
198
148
22
-51
-272
-226
-81
-156
-70
-69
116
285
342
469
476
601
454
257
262
400
492
667
634
680
726
660
707
586
344
361
471
444
518
413
562
578
525
605
693
648
530
604
523
626
734
548
559
635
643
714
634
668
123
-19
98
189
368
470
508
538
592
622
568
510
337
142
-31
138
146
213
236
233
231
217
260
143
-40
85
279
216
251
434
321
418
490
462
417
316
297
97
59
229
284
209
357
321
242
234
268
265
55
209
349
241
425
508
531
647
792
791
776
778
739
770
766
801
928
852
786
848
936
1073
1074
970
694
604
620
591
796
962
932
965
969
754
784
863
1056
751
782
760
900
1087
1112
1192
1162
1133
1091
1076
997
888
890
1026
1053
1181
1145
1236
1055
1082
1083
1186
1054
874
718
923
890
905
988
1008
1097
976
969
1011
746
862
960
912
908
881
986
894
919
921
920
934
842
572
252
582
606
840
706
492
514
502
540
597
275
474
483
425
296
432
583
574
696
660
622
604
501
433
506
655
722
769
755
695
777
652
817
776
669
697
743
647
798
1008
725
885
957
997
879
778
613
531
559
787
851
654
791
775
757
657
736
810
568
588
665
488
619
721
379
355
435
461
263
114
42
-260
-462
-213
-60
4
132
149
574
541
616
674
404
434
558
714
810
655
420
365
458
676
774
803
554
295
420
737
1023
1171
1086
937
752
778
719
501
208
66
204
384
509
516
363
346
254
314
370
481
464
315
242
322
458
717
763
782
870
826
676
483
218
99
320
688
829
887
760
677
485
432
444
486
409
351
273
439
550
656
814
823
931
978
745
561
192
98
90
215
471
485
254
-52
-54
-44
-82
-155
-165
-288
-376
-264
83
311
418
296
805
650
457
236
221
-185
16
-50
432
537
602
534
458
480
501
529
320
315
343
444
443
278
275
320
298
463
592
705
655
378
350
669
562
400
607
754
748
759
581
518
392
164
221
286
402
304
323
463
694
674
1062
951
819
416
574
627
817
963
582
671
787
805
815
756
549
235
135
406
448
539
582
300
360
418
441
524
230
278
450
552
331
506
304
276
514
560
560
405
427
412
410
480
626
666
495
404
310
93
-37
-342
-646
-383
-164
-147
-205
-173
-143
-148
-229
-225
-36
126
133
28
-72
-6
-204
-211
-197
-174
-75
-92
-82
-18
-37
-64
50
173
205
-6
188
242
256
250
172
161
14
-53
74
389
305
415
440
269
-87
-71
7
-34
-252
-228
-5
55
27
-19
-15
177
353
408
402
423
205
72
-34
128
128
157
429
270
216
320
403
102
56
101
104
48
131
246
350
449
495
385
294
208
76
-111
-197
-20
246
223
192
239
312
454
365
254
137
287
320
232
225
147
103
187
188
183
226
194
-15
-147
-165
0
228
72
12
-156
137
206
306
330
381
440
731
739
793
774
713
778
860
887
930
933
815
495
250
506
829
889
811
835
640
594
685
487
285
407
366
367
520
568
565
662
765
677
651
550
549
340
110
126
-61
-71
-241
-378
-348
-523
-454
-319
-479
-454
-180
9
171
149
105
263
442
488
697
684
591
494
309
378
438
480
442
360
412
237
65
-31
-189
-237
-119
-43
63
205
134
157
447
472
440
563
606
692
550
605
642
472
451
424
202
81
7
75
88
29
238
299
331
317
347
368
358
345
387
271
84
-232
-339
-59
38
27
172
87
30
-40
24
-55
32
7
197
203
28
-176
133
264
342
313
402
338
291
279
473
882
641
594
598
526
728
1031
937
983
982
846
989
986
805
768
1036
1139
1113
1114
1073
912
698
367
345
505
250
287
435
442
399
436
513
643
714
464
517
597
424
657
934
950
1003
983
909
819
619
387
590
727
727
632
685
765
764
754
792
1032
1005
987
1021
887
631
629
582
789
974
966
1019
1031
910
940
980
1194
1154
987
1023
1264
1120
1120
1327
1499
1420
1333
1277
1076
802
840
808
948
996
1083
1213
1201
1050
852
986
1116
1182
1027
1053
945
1081
1016
1055
757
773
789
779
820
778
810
1037
1007
923
919
941
907
845
501
524
432
390
437
508
654
763
766
774
690
675
435
370
618
665
550
572
496
509
587
682
551
395
202
124
392
381
410
582
683
870
878
955
757
931
748
797
567
532
572
579
685
647
671
730
740
757
546
520
598
626
575
602
666
597
448
398
279
211
219
243
3
-59
238
421
562
386
412
430
324
161
246
421
294
168
37
-8
-128
-5
181
100
26
57
-124
7
-172
-211
42
61
22
114
122
103
34
-22
-62
74
254
220
228
252
272
300
377
279
213
192
243
255
99
-97
-242
44
40
52
214
159
156
177
190
464
654
505
292
261
218
386
453
424
328
28
84
425
547
429
361
378
385
207
-4
117
337
406
451
444
375
298
232
117
167
189
164
315
3
-209
-148
216
380
173
78
253
162
15
78
68
27
-14
-53
-81
-63
-139
-129
-114
-121
-26
-2
-58
44
66
-45
70
59
-24
56
-156
-105
-50
-73
12
139
85
208
504
487
585
371
463
810
804
843
750
813
741
731
684
292
132
233
179
16
-141
-239
-68
3
-94
-20
152
129
254
255
227
44
149
97
37
-29
78
204
302
185
-99
60
49
46
171
284
352
249
178
6
217
600
509
481
496
186
121
129
109
-71
137
191
423
209
137
420
221
201
228
141
128
123
9
-114
236
476
169
-84
-72
110
8
-27
102
191
164
145
271
45
30
69
-41
-114
-76
-148
-215
-221
-261
-244
-27
-142
-314
-405
-251
-37
66
100
105
-13
-257
-200
36
-141
-169
-56
-215
-467
-736
-836
-786
-873
-953
-782
-703
-772
-742
-881
-984
-984
-861
-766
-582
-474
-472
-583
-364
-392
-511
-475
-644
-847
-943
-983
-1047
-1009
-946
-892
-714
-740
-986
-983
-1101
-1157
-1105
-1044
-1041
-953
-963
-884
-404
-548
-596
-283
-172
-269
-354
-396
-310
-308
-341
-220
262
426
387
89
-227
-316
-370
-281
-247
-164
-56
-234
-145
-171
-41
-166
82
85
289
433
400
248
-78
-413
-225
139
107
38
-93
-159
-340
-209
-263
-317
-206
215
317
228
66
51
-142
-261
-393
-484
-485
-508
-479
-417
-112
-71
-335
-352
-232
-180
40
41
118
17
52
-114
-61
-87
-525
-405
-489
-445
-565
-779
-841
-885
-830
-637
-390
-522
-374
-377
-647
-614
-531
-510
-516
-429
-626
-576
-549
-822
-764
-654
-508
-492
-453
-375
-422
-590
-535
-384
-329
-423
-363
-433
-415
-375
-275
-289
-216
-179
-334
-480
-387
-522
-637
-652
-719
-742
-682
-661
-732
-746
-653
-410
-457
-776
-487
-353
-244
-320
-313
-253
-213
-15
-46
108
206
48
-15
-108
-60
-58
-456
-425
-437
-405
-357
-306
-70
21
45
96
30
109
-31
-137
-258
-222
6
107
193
-119
-370
-233
-114
-127
-325
-341
-283
-263
-262
-220
-14
39
30
-25
-143
-125
-167
-161
-47
-59
-148
-91
65
20
-230
-416
-549
-747
-851
-678
-657
-623
-714
-730
-133
-68
-2
76
17
-6
-64
-54
31
151
-45
-101
52
-21
-155
-185
-327
-571
-728
-757
-729
-560
-562
-862
-653
-518
-602
-816
-870
-625
-495
-351
-239
-214
-368
-470
-435
-392
-467
-434
-655
-748
-749
-622
-739
-740
-719
-801
-641
-838
-946
-768
-614
-149
-62
-120
-226
-324
-423
-585
-605
-593
-428
-315
-283
-359
-567
-712
-763
-852
-990
-1026
-1097
-1084
-918
-753
-693
-772
-762
-820
