,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
692,15.0,15.0,15,35.026667,-118.185556,1.0
693,20.0,20.0,20,36.226111,-119.905278,1.0
694,15.0,15.0,14,35.323056,-118.821389,1.0
695,27.0,26.0,25,35.325278,-118.878611,1.0
696,52.2,52.2,52.2,32.57,-107.48,1.0
697,32.0,32.0,32,32.940833,-112.881389,1.0
698,6.0,6.0,6,31.5,-111.008056,1.0
699,1.0,1.0,1,38.399444,-121.960278,1.0
700,12.0,12.0,12,35.593611,-119.58,1.0
701,12.0,12.0,12,36.134444,-119.554444,1.0
702,20.0,20.0,20,33.165833,-115.532222,1.0
703,1.5,1.5,1.5,34.708333,-118.130556,1.0
704,1.0,1.0,1,34.708333,-118.130556,1.0
705,1.0,1.0,1,34.708333,-118.130556,1.0
706,1.0,1.0,1,34.700278,-118.123611,1.0
707,1.0,1.0,1,34.700278,-118.123611,1.0
708,1.5,1.5,1.5,36.831667,-121.404167,1.0
709,1.1,1.1,1.1,37.969722,-121.719444,1.0
710,1.3,1.3,1.3,37.921944,-121.755556,1.0
711,1.3,1.3,1.3,41.581111,-70.998056,1.0
712,1.1,1.1,1.1,34.9325,-117.907222,1.0
713,1.1,1.1,1.1,34.917222,-117.900278,1.0
714,1.1,1.1,1.1,32.906111,-117.121389,1.0
715,1.1,1.1,1.1,33.21,-117.170556,1.0
716,1.8,1.8,1.8,39.9825,-104.940833,1.0
717,100.0,100.0,100,36.221667,-119.903056,1.0
718,1.5,1.5,1.5,34.715,-118.095,1.0
719,29.0,29.0,29,32.001389,-110.960556,1.0
720,1.5,1.5,1.5,34.710556,-118.166111,1.0
721,1.5,1.5,1.5,34.435,-117.378056,1.0
722,20.0,20.0,20,36.138056,-119.564722,1.0
723,1.6,1.6,1.6,40.6316,-103.194694,1.0
724,1.6,1.6,1.6,39.0672,-108.509139,1.0
725,1.5,1.5,1.5,36.19,-119.12,1.0
726,1.5,1.5,1.5,36.19,-119.12,1.0
727,1.5,1.5,1.5,36.19,-119.12,1.0
728,1.5,1.5,1.5,36.05,-119.02,1.0
729,1.5,1.5,1.5,36.05,-119.02,1.0
730,20.0,20.0,20,34.408333,-116.8625,1.0
731,1.0,1.0,0.8,39.526111,-107.696111,1.0
732,20.0,19.5,14.1,35.416111,-119.6825,1.0
733,20.0,19.5,14.1,35.4225,-119.629167,1.0
734,15.0,14.7,11.2,35.63,-119.573889,1.0
735,5.0,5.0,5,34.599444,-117.932778,1.0
736,1.5,1.5,1.5,37.267778,-120.484444,1.0
737,1.5,1.5,1.5,37.267778,-120.4825,1.0
738,1.5,1.5,1.5,36.8625,-121.428889,1.0
739,1.5,1.6,1.5,34.512778,-117.387222,1.0
740,1.5,1.6,1.5,34.511389,-117.387222,1.0
741,1.5,1.6,1.5,34.509444,-117.387222,1.0
742,1.5,1.6,1.5,34.508056,-117.387222,1.0
743,10.0,9.0,9,34.613056,-117.938889,1.0
744,1.0,1.0,1,38.001111,-121.703889,1.0
745,1.5,1.5,1.5,36.306667,-119.629167,1.0
746,1.5,1.5,1.5,36.306667,-119.629167,1.0
747,37.8,37.8,37.8,35.248889,-118.034444,1.0
748,47.3,47.3,47.3,35.265833,-117.999167,1.0
749,56.0,51.0,50,35.269444,-118.014444,1.0
750,56.0,51.0,50,35.253056,-118.014722,1.0
751,50.0,47.0,45,35.253611,-118.026944,1.0
752,20.0,20.0,20,35.305556,-119.6225,1.0
753,1.5,1.5,1.5,38.587222,-121.457778,1.0
754,18.0,18.0,18,34.812222,-118.352778,1.0
755,108.0,105.1,76.8,37.130278,-121.052222,1.0
756,1.5,1.5,1.5,34.473889,-117.562778,1.0
757,1.0,1.0,1,34.471389,-117.562222,1.0
758,5.0,5.0,5,42.203333,-121.046389,1.0
759,19.5,19.5,19.5,35.615833,-119.578333,1.0
760,80.0,80.0,80,37.641111,-113.6125,1.0
761,80.0,80.0,80,38.524167,-113.033889,1.0
762,80.0,80.0,80,38.500833,-113.03,1.0
763,80.0,80.0,80,38.497778,-112.986944,1.0
764,2.0,2.0,2,35.049167,-106.53,1.0
765,1.0,1.0,0.8,36.185,-119.375,1.0
766,17.5,17.5,17.5,35.479722,-114.936111,1.0
767,1.3,1.3,1.3,33.713056,-117.0725,1.0
768,10.5,10.3,10.3,31.978333,-106.4275,1.0
769,20.0,20.0,20,35.393333,-119.127778,1.0
770,1.0,1.0,1,34.768333,-117.323611,1.0
771,1.5,1.5,1.5,34.766389,-117.323611,1.0
772,1.5,1.5,1.5,34.765,-117.323611,1.0
773,20.0,20.0,20,35.126111,-119.243333,1.0
774,19.8,19.8,19.8,36.141944,-119.581667,1.0
775,20.0,20.0,20,35.815,-119.459722,1.0
776,2.1,2.0,1.2,33.8025,-117.919722,1.0
777,1.5,1.5,1.5,34.413056,-117.470833,1.0
778,1.5,1.5,1.5,34.4175,-117.469722,1.0
779,1.5,1.5,1.5,34.415278,-117.47,1.0
780,5.0,5.0,5,36.088611,-115.177778,1.0
781,20.0,18.0,18,34.703611,-118.334167,1.0
782,7.0,7.0,7,34.557222,-117.3775,1.0
783,20.0,20.0,20,34.557222,-117.3775,1.0
784,20.0,20.0,20,34.689167,-118.324722,1.0
785,10.0,10.0,10,33.145,-112.66,1.0
786,10.0,10.0,10,32.145833,-110.866944,1.0
