,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
109,135.0,135.0,135.0,46.5725,-109.7531,1.0
110,135.0,135.0,135.0,35.248006,-118.175356,1.0
111,21.3,21.3,21.3,42.490341,-113.926605,1.0
112,12.0,12.0,12.0,42.436804,-113.925536,1.0
113,19.5,19.5,19.5,42.460629,-114.017297,1.0
114,13.5,13.5,13.5,42.840556,-114.989722,1.0
115,10.5,10.5,10.5,42.7975,-114.998611,1.0
116,21.0,21.0,21.0,42.681944,-114.989167,1.0
117,12.0,12.0,12.0,42.870278,-114.967778,1.0
118,10.5,10.5,10.5,42.836854,-114.969342,1.0
119,38.0,38.0,38.0,37.805,-121.6672,1.0
120,75.0,75.0,75.0,37.6735,-102.8622,1.0
121,140.4,140.4,140.4,46.3747,-117.7772,1.0
122,70.2,70.2,70.2,46.3747,-117.7772,1.0
123,221.0,221.0,221.0,45.5836,-120.5042,1.0
124,76.5,76.5,76.5,45.5836,-120.5042,1.0
125,125.4,125.4,125.4,45.653745,-120.603414,1.0
126,163.3,163.3,163.3,45.653745,-120.603414,1.0
127,161.0,161.0,161.0,45.653745,-120.603414,1.0
128,204.0,204.0,204.0,45.815467,-120.341883,1.0
129,199.5,199.5,199.5,40.986,-103.436,1.0
130,7.4,7.4,7.4,35.1161,-118.3789,1.0
131,9.0,9.0,9.0,47.4983,-111.4392,1.0
132,201.0,201.0,201.0,40.941,-103.259,1.0
133,100.7,100.7,100.7,45.085221,-117.816273,1.0
134,21.0,21.0,21.0,43.0272,-115.4656,1.0
135,21.0,21.0,21.0,43.0536,-115.4803,1.0
136,101.2,101.2,101.2,40.8981,-121.8036,1.0
137,94.0,94.0,94.0,45.781825,-120.521151,1.0
138,136.3,136.3,136.3,45.8797,-120.8072,1.0
139,18.9,18.9,18.9,40.071389,-111.582222,1.0
140,61.0,61.0,61.0,41.288056,-110.480741,1.0
141,80.0,80.0,80.0,41.263889,-110.544444,1.0
142,98.7,98.7,98.7,45.7119,-120.125,1.0
143,100.8,100.8,100.8,45.52,-120.5744,1.0
144,45.0,45.0,45.0,33.9393,-116.5527,1.0
145,99.0,99.0,99.0,43.0181,-105.835278,1.0
146,39.0,39.0,39.0,43.0181,-105.835278,1.0
147,99.0,99.0,99.0,43.0572,-105.8543,1.0
148,99.0,99.0,99.0,41.9203,-106.3758,1.0
149,19.5,19.5,19.5,41.9203,-106.3758,1.0
150,97.0,96.6,96.6,45.675804,-120.31832,1.0
151,103.0,102.9,102.9,45.7167,-120.2008,1.0
152,100.7,100.7,100.7,47.1356,-120.6872,1.0
153,150.0,150.0,150.0,38.1711,-121.8461,1.0
154,9.9,9.9,9.9,45.6758,-119.9375,1.0
155,10.5,10.5,10.5,42.8444,-115.0369,1.0
156,18.9,18.9,18.9,42.8744,-115.0172,1.0
157,100.0,100.0,100.0,34.466667,-105.9625,1.0
158,72.0,72.0,72.0,45.6533,-119.9914,1.0
159,29.4,29.4,29.4,41.139722,-104.997778,1.0
160,5.0,5.0,5.0,45.7017,-119.4222,1.0
161,1.7,1.7,1.7,45.655,-119.4647,1.0
162,10.0,10.0,10.0,45.7286,-119.4181,1.0
163,10.0,10.0,10.0,45.6447,-119.4533,1.0
164,9.9,9.9,9.9,45.7122,-119.4044,1.0
165,8.3,8.3,8.3,45.6542,-119.4869,1.0
166,9.9,9.9,9.9,45.6447,-119.4767,1.0
167,3.3,3.3,3.3,45.6531,-119.4625,1.0
168,6.6,6.6,6.6,45.6967,-119.4097,1.0
169,28.5,28.5,28.5,41.7244,-105.9906,1.0
170,99.0,99.0,99.0,41.675052,-106.011124,1.0
171,106.5,104.2,104.2,48.51,-112.1097,1.0
172,103.5,101.4,101.4,48.5333,-112.1847,1.0
173,203.5,203.5,203.5,38.53569,-112.935,1.0
174,99.0,99.0,99.0,43.01455,-105.999,1.0
175,42.0,42.0,42.0,41.12968,-105.024,1.0
